beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type
"Atom Smasher","Two Brothers Brewing Company",Märzen,7.7,22,,,,,,,,3.5,"2013-09-02 17:55:23",https://untappd.com/c/43945529,https://untappd.com/beer/13003,https://untappd.com/brewery/1298,"United States",Warrenville,IL,,,
Oktoberfest,"Revolution Brewing Company",Märzen,5.7,25,Mmm,"Revolution Brewing Brewpub",Chicago,IL,"United States",41.9235,-87.6982,4,"2013-09-04 22:35:41",https://untappd.com/c/44155590,https://untappd.com/beer/78774,https://untappd.com/brewery/2605,"United States",Chicago,IL,,,
"Prairie Path Ale","Two Brothers Brewing Company","Golden Ale",5.1,25,"Gluten removed? Can't tell! Refreshing, not to strong in any respect.",,,,,,,3.5,"2013-09-05 16:33:30",https://untappd.com/c/44192253,https://untappd.com/beer/3142,https://untappd.com/brewery/1298,"United States",Warrenville,IL,,,
"Danish Style Red Lager","Figueroa Mountain Brewing Co.","Lager - Vienna",5.5,23,,"Figueroa Mountain Brewing Company","Santa Barbara",CA,"United States",34.4147,-119.691,3.5,"2013-09-13 17:29:52",https://untappd.com/c/45259544,https://untappd.com/beer/39441,https://untappd.com/brewery/5800,"United States",Buellton,CA,,,
"Robert Masterson & Ryan Reschan/Rip Current/Stone R&R Coconut IPA","Stone Brewing","IPA - American",7.7,90,,"Union Ale","Santa Barbara",CA,"United States",34.4145,-119.692,3.5,"2013-09-13 20:04:59",https://untappd.com/c/45308568,https://untappd.com/beer/389713,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,
"New Dogtown Pale Ale","Lagunitas Brewing Company","Pale Ale - American",6.2,62,,,,,,,,4,"2013-09-14 18:08:00",https://untappd.com/c/45503790,https://untappd.com/beer/6407,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,
"Heavenly Feijoa Tripel (Lips of Faith)","New Belgium Brewing Company","Belgian Tripel",9,0,Amazeballs,,,,,,,4.5,"2013-09-17 19:15:33",https://untappd.com/c/45845649,https://untappd.com/beer/277362,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,
"Samuel Adams OctoberFest","Boston Beer Company",Märzen,5.3,16,,"Old Town Tavern",Goleta,CA,"United States",34.4349,-119.829,2.5,"2013-09-18 21:21:39",https://untappd.com/c/45946162,https://untappd.com/beer/3942,https://untappd.com/brewery/157,"United States",Boston,MA,,,
"Pere Jacques (2012)","Goose Island Beer Co.","Belgian Dubbel",8.7,26,,,,,,,,4,"2013-09-19 19:24:36",https://untappd.com/c/46035430,https://untappd.com/beer/149235,https://untappd.com/brewery/2898,"United States",Chicago,IL,,,
"India Pale Ale","Kirkland Signature","IPA - American",6.9,77,Unoffensive,"Material Research Lab","Santa Barbara",CA,"United States",34.4143,-119.842,2,"2013-09-20 20:18:27",https://untappd.com/c/46200067,https://untappd.com/beer/43383,https://untappd.com/brewery/10375,"United States","San Jose",CA,,,
"Pale 31","Firestone Walker Brewing Company","Pale Ale - American",4.9,38,,"Material Research Lab","Santa Barbara",CA,"United States",34.4143,-119.842,2,"2013-09-20 20:19:19",https://untappd.com/c/46200280,https://untappd.com/beer/5427,https://untappd.com/brewery/524,"United States","Paso Robles",CA,,,
"Paardebloem (Lips of Faith)","New Belgium Brewing Company","Gruit / Ancient Herbed Ale",9,0,"Mildly tart, beautiful color.",,,,,,,4,"2013-09-21 18:49:23",https://untappd.com/c/46400263,https://untappd.com/beer/317336,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,
"Maiden Voyage IPA","Hollister Brewing Company","IPA - American",6.2,0,"English-style IPA. Not bad","Hollister Brewing Company",Goleta,CA,"United States",34.4295,-119.871,3.5,"2013-09-22 17:02:33",https://untappd.com/c/46548748,https://untappd.com/beer/93496,https://untappd.com/brewery/2275,"United States",Goleta,CA,,,
"Superfuzz Blood Orange Pale","Elysian Brewing Company","Pale Ale - American",6.4,45,"Wow. Super refreshing",,,,,,,4,"2013-09-23 18:34:29",https://untappd.com/c/46639193,https://untappd.com/beer/360414,https://untappd.com/brewery/7294,"United States",Seattle,WA,,,
"Racer 5 IPA®","Bear Republic Brewing Co.","IPA - American",7.5,75,,,,,,,,4,"2013-09-23 19:52:45",https://untappd.com/c/46650236,https://untappd.com/beer/1553,https://untappd.com/brewery/94,"United States",Healdsburg,CA,,,
"Hop Head Red (-2013 Retired)","Green Flash Brewing Company","IPA - American",7,70,,,,,,,,3.5,"2013-09-25 21:42:43",https://untappd.com/c/46829516,https://untappd.com/beer/5011,https://untappd.com/brewery/609,"United States","San Diego",CA,,,
"Hop Head Red (-2013 Retired)","Green Flash Brewing Company","IPA - American",7,70,,,,,,,,3.5,"2013-09-26 20:49:08",https://untappd.com/c/46935271,https://untappd.com/beer/5011,https://untappd.com/brewery/609,"United States","San Diego",CA,,,
"Avocado Honey Ale","Island Brewing Company","Honey Beer",5.3,20,,,,,,,,3.5,"2013-09-27 19:51:33",https://untappd.com/c/47082823,https://untappd.com/beer/81721,https://untappd.com/brewery/702,"United States",Carpinteria,CA,,,
"Pink IPA","Almond 22","IPA - International",6,45,"Italian pale ale",,,,,,,4,"2013-09-28 18:41:08",https://untappd.com/c/47306541,https://untappd.com/beer/50214,https://untappd.com/brewery/6183,Italy,Spoltore,Pescara,,,
ISAAC,"BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery",Witbier,5,10,,"Olio Pizzeria","Santa Barbara",CA,"United States",34.4237,-119.706,4,"2013-09-28 18:53:59",https://untappd.com/c/47310728,https://untappd.com/beer/22292,https://untappd.com/brewery/128,Italy,Piozzo,,,,
"Stone Enjoy By 09.13.13 IPA","Stone Brewing","IPA - Imperial / Double",9.4,88,,,,,,,,4,"2013-09-29 21:49:23",https://untappd.com/c/47496010,https://untappd.com/beer/417699,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,
"Hop Head Red (-2013 Retired)","Green Flash Brewing Company","IPA - American",7,70,,,,,,,,3.5,"2013-09-30 18:32:42",https://untappd.com/c/47551069,https://untappd.com/beer/5011,https://untappd.com/brewery/609,"United States","San Diego",CA,,,
"Dale's Pale Ale","Oskar Blues Brewery","Pale Ale - American",6.5,65,,,,,,,,3.5,"2013-10-02 22:25:21",https://untappd.com/c/47746353,https://untappd.com/beer/10759,https://untappd.com/brewery/956,"United States",Longmont,CO,,,
"Beer With Hops ( 100% Ahtanum Hops)","Hollister Brewing Company","Pale Ale - American",5.6,0,,,,,,,,3.5,"2013-10-04 11:37:15",https://untappd.com/c/47887904,https://untappd.com/beer/462350,https://untappd.com/brewery/2275,"United States",Goleta,CA,,,
Mischief,"The Bruery","Belgian Strong Golden Ale",8.5,35,,,,,,,,4,"2013-10-04 18:37:49",https://untappd.com/c/47979725,https://untappd.com/beer/7875,https://untappd.com/brewery/1246,"United States",Placentia,CA,,,
"Dale's Pale Ale","Oskar Blues Brewery","Pale Ale - American",6.5,65,,,,,,,,3.5,"2013-10-05 18:06:31",https://untappd.com/c/48202769,https://untappd.com/beer/10759,https://untappd.com/brewery/956,"United States",Longmont,CO,,,
Simcoe,"Pipeworks Brewing Company","IPA - Imperial / Double",9.5,0,,,,,,,,4,"2013-10-07 18:36:02",https://untappd.com/c/48461027,https://untappd.com/beer/351189,https://untappd.com/brewery/4012,"United States",Chicago,IL,,,
Punk'n,"Uinta Brewing Company","Pumpkin / Yam Beer",5,10,"Really good pumpkin ale. Not grossly pumpkin. Subtly squashy",,,,,,,4,"2013-10-09 19:26:44",https://untappd.com/c/48652145,https://untappd.com/beer/8380,https://untappd.com/brewery/1304,"United States","Salt Lake City",UT,,,
"Punkin Ale","Dogfish Head Craft Brewery","Pumpkin / Yam Beer",7,28,,,,,,,,3.75,"2013-10-11 17:51:06",https://untappd.com/c/48927915,https://untappd.com/beer/4996,https://untappd.com/brewery/459,"United States",Milton,DE,,,
"Fleur de Houblon (Summer Ale)","Brewery Ommegang","Pale Ale - Belgian",6.8,0,,,,,,,,4,"2013-10-12 19:15:37",https://untappd.com/c/49217306,https://untappd.com/beer/298525,https://untappd.com/brewery/249,"United States",Cooperstown,NY,,,
Figtoberfest,"Figueroa Mountain Brewing Co.",Märzen,5.7,30,,"Figueroa Mountain Brewing Company","Santa Barbara",CA,"United States",34.4147,-119.691,3.5,"2013-10-12 21:00:30",https://untappd.com/c/49247077,https://untappd.com/beer/475403,https://untappd.com/brewery/5800,"United States",Buellton,CA,,,
"Drew Curtis / Wil Wheaton / Greg Koch Stone Farking Wheaton w00tstout (2013)","Stone Brewing","Stout - American Imperial / Double",13,65,,"American Ale","Santa Barbara",CA,"United States",34.4182,-119.696,4.5,"2013-10-12 23:01:44",https://untappd.com/c/49264645,https://untappd.com/beer/338607,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,
"Stone 17th Anniversary Götterdämmerung IPA","Stone Brewing","IPA - Imperial / Double",9.5,102,,"Mercury Lounge",Goleta,CA,"United States",34.4357,-119.828,4.5,"2013-10-14 17:51:25",https://untappd.com/c/49492771,https://untappd.com/beer/389372,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,
"Duchesse de Bourgogne","Brouwerij Verhaeghe","Sour - Flanders Red Ale",6,11,,"Mercury Lounge",Goleta,CA,"United States",34.4357,-119.828,4.5,"2013-10-14 18:35:43",https://untappd.com/c/49501048,https://untappd.com/beer/3954,https://untappd.com/brewery/305,Belgium,Vichte,West-Vlaanderen,,,
"Colette Farmhouse Ale","Great Divide Brewing Company","Saison / Farmhouse Ale",7.3,35,,"The Satellite","Los Angeles",CA,"United States",34.0898,-118.268,4,"2013-10-17 21:55:25",https://untappd.com/c/49850701,https://untappd.com/beer/5431,https://untappd.com/brewery/604,"United States",Denver,CO,,,
"Stone IPA","Stone Brewing","IPA - American",6.9,71,,"The Satellite","Los Angeles",CA,"United States",34.0898,-118.268,3.5,"2013-10-17 22:50:04",https://untappd.com/c/49854256,https://untappd.com/beer/821,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,
#9,"Magic Hat Brewing Company","Fruit Beer",5.1,20,,,,,,,,2.5,"2013-10-19 19:38:35",https://untappd.com/c/50266864,https://untappd.com/beer/3776,https://untappd.com/brewery/812,"United States","South Burlington",VT,,,
"Mør Mør","Brouwerij West","Belgian Quad",11,0,,"Eureka! Gourmet Burgers & Craft Beer","Santa Barbara",CA,"United States",34.4186,-119.7,4,"2013-10-19 20:24:13",https://untappd.com/c/50280375,https://untappd.com/beer/165258,https://untappd.com/brewery/2193,"United States","San Pedro",CA,,,
"Blonde Ale","Saint Archer Brewing Company","Blonde Ale",4.8,22,,,,,,,,2,"2013-10-20 16:00:14",https://untappd.com/c/50409174,https://untappd.com/beer/339124,https://untappd.com/brewery/60062,"United States","San Diego",CA,,,
"XP Pale Ale™","Bear Republic Brewing Co.","Pale Ale - American",5.4,35,,,,,,,,3.5,"2013-10-20 16:03:38",https://untappd.com/c/50409810,https://untappd.com/beer/2391,https://untappd.com/brewery/94,"United States",Healdsburg,CA,,,
"Boont Amber Ale","Anderson Valley Brewing Company","Red Ale - American Amber / Red",5.8,15,,,,,,,,3.5,"2013-10-20 16:14:26",https://untappd.com/c/50411962,https://untappd.com/beer/4481,https://untappd.com/brewery/3880,"United States",Boonville,CA,,,
"Davy Brown Ale","Figueroa Mountain Brewing Co.","Brown Ale - American",6,29,,,,,,,,4,"2013-10-20 16:19:54",https://untappd.com/c/50413066,https://untappd.com/beer/32289,https://untappd.com/brewery/5800,"United States",Buellton,CA,,,
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","IPA - American",7.2,65,"These ratings are so inconsistent. Definitely depends on how tipsy I am. DELIGHTFULLY DRINKABLE IPA Y'ALL",,,,,,,3.5,"2013-10-26 17:05:11",https://untappd.com/c/51220992,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States",Chico,CA,,,
"Pilsner Urquell","Plzeňský Prazdroj","Pilsner - Czech",4.4,40,,,,,,,,3,"2013-10-27 14:36:37",https://untappd.com/c/51393954,https://untappd.com/beer/37936,https://untappd.com/brewery/1459,"Czech Republic",Plzeň,,,,
"India Ale","Samuel Smith's Old Brewery","IPA - English",5,46,,,,,,,,2.5,"2013-10-27 14:43:12",https://untappd.com/c/51395383,https://untappd.com/beer/3346,https://untappd.com/brewery/1099,England,Tadcaster,"North Yorkshire",,,
"Racer 5 IPA®","Bear Republic Brewing Co.","IPA - American",7.5,75,,,,,,,,4,"2013-10-27 14:44:41",https://untappd.com/c/51395697,https://untappd.com/beer/1553,https://untappd.com/brewery/94,"United States",Healdsburg,CA,,,
"Stone Enjoy By 10.25.13 IPA","Stone Brewing","IPA - Imperial / Double",9.4,88,,,,,,,,4.5,"2013-10-27 14:51:04",https://untappd.com/c/51397140,https://untappd.com/beer/452609,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,
"Ten FIDY","Oskar Blues Brewery","Stout - American Imperial / Double",10.5,65,"I made cupcakes with this too. Hubba",,,,,,,4.5,"2013-11-03 13:39:56",https://untappd.com/c/52378629,https://untappd.com/beer/4744,https://untappd.com/brewery/956,"United States",Longmont,CO,,,
Heineken,Heineken,"Lager - Euro",5,19,"It's Heineken.",,,,,,,2,"2013-11-03 15:08:40",https://untappd.com/c/52398606,https://untappd.com/beer/5860,https://untappd.com/brewery/1400,Netherlands,Zoeterwoude,"Zuid Holland",,,
"Newcastle Brown Ale","John Smith's","Brown Ale - English",4.7,18,"It's a Newcastle. Tastes like camping",,,,,,,2.5,"2013-11-03 15:10:44",https://untappd.com/c/52399064,https://untappd.com/beer/5856,https://untappd.com/brewery/1816,England,Tadcaster,"North Yorkshire",,,
"Franziskaner Hefe-Weissbier Naturtrüb",Spaten-Franziskaner-Löwenbräu-Gruppe,Hefeweizen,5,12,,,,,,,,2.5,"2013-11-03 15:17:49",https://untappd.com/c/52400606,https://untappd.com/beer/14564,https://untappd.com/brewery/1176,Germany,München,,,,
